@relation ThresholdCurve

@attribute Instance_number numeric
@attribute 'True Positives' numeric
@attribute 'False Negatives' numeric
@attribute 'False Positives' numeric
@attribute 'True Negatives' numeric
@attribute 'False Positive Rate' numeric
@attribute 'True Positive Rate' numeric
@attribute Precision numeric
@attribute Recall numeric
@attribute Fallout numeric
@attribute FMeasure numeric
@attribute 'Sample Size' numeric
@attribute Lift numeric
@attribute Threshold numeric

@data
174,451976,15439,507090,25495,0.95213,0.966969,0.471267,0.966969,0.528733,0.633694,0.959066,1.008241,0.373315
175,449380,18035,502546,30039,0.943598,0.961415,0.472075,0.961415,0.527925,0.633223,0.951926,1.009969,0.373317
176,449338,18077,502497,30088,0.943506,0.961326,0.472076,0.961326,0.527924,0.633205,0.951835,1.009971,0.373333
177,449336,18079,502492,30093,0.943496,0.961321,0.472077,0.961321,0.527923,0.633205,0.951828,1.009974,0.373494
178,449336,18079,502481,30104,0.943476,0.961321,0.472082,0.961321,0.527918,0.63321,0.951817,1.009985,0.373507
179,446731,20684,497889,34696,0.934854,0.955748,0.472921,0.955748,0.527079,0.632748,0.94462,1.011781,0.373535
180,446502,20913,497532,35053,0.934183,0.955258,0.472972,0.955258,0.527028,0.632686,0.944034,1.01189,0.373626
181,446499,20916,497530,35055,0.93418,0.955252,0.472972,0.955252,0.527028,0.632684,0.944029,1.011888,0.373681
182,446257,21158,497149,35436,0.933464,0.954734,0.473028,0.954734,0.526972,0.63262,0.943406,1.012008,0.37415
183,446244,21171,497124,35461,0.933417,0.954706,0.473033,0.954706,0.526967,0.632619,0.943368,1.012019,0.375
184,446212,21203,497078,35507,0.933331,0.954638,0.473038,0.954638,0.526962,0.632609,0.94329,1.01203,0.375292
185,445970,21445,496673,35912,0.93257,0.95412,0.473106,0.95412,0.526894,0.632556,0.942643,1.012175,0.375476
186,445902,21513,496586,35999,0.932407,0.953975,0.473112,0.953975,0.526888,0.632529,0.942488,1.012187,0.375546
187,445870,21545,496552,36033,0.932343,0.953906,0.473111,0.953906,0.526889,0.632513,0.942422,1.012186,0.375671
188,445852,21563,496508,36077,0.932261,0.953868,0.473123,0.953868,0.526877,0.632515,0.94236,1.012211,0.375912
189,445830,21585,496457,36128,0.932165,0.95382,0.473136,0.95382,0.526864,0.632517,0.942287,1.01224,0.375934
190,445786,21629,496360,36225,0.931983,0.953726,0.47316,0.953726,0.52684,0.632518,0.942146,1.012291,0.376
191,445782,21633,496353,36232,0.93197,0.953718,0.473161,0.953718,0.526839,0.632517,0.942135,1.012294,0.376214
192,445745,21670,496306,36279,0.931881,0.953639,0.473164,0.953639,0.526836,0.632502,0.942051,1.0123,0.376321
193,445726,21689,496269,36316,0.931812,0.953598,0.473172,0.953598,0.526828,0.6325,0.941995,1.012317,0.376496
194,445502,21913,495876,36709,0.931074,0.953119,0.473245,0.953119,0.526755,0.632459,0.941378,1.012472,0.376538
